timestamp,label,user_id,amount,merchant_id,trans_type,foreign
1591150620,legitimate,8,9.42,4,online,False
1591150669,legitimate,9,36.38,11,contactless,False
1591152891,legitimate,7,10.56,8,online,False
1591157902,legitimate,9,25.09,11,swipe,False
1591157988,legitimate,8,17.73,4,manual,False
1591163866,legitimate,7,11.02,8,manual,False
1591164823,legitimate,3,19.49,8,online,True
1591165170,legitimate,9,26.04,11,swipe,False
1591166029,legitimate,8,14.1,4,contactless,False
1591166295,legitimate,6,18.9,14,chip_and_pin,False
1591167256,legitimate,5,27.98,14,contactless,False
1591169119,legitimate,4,108.42,10,contactless,False
1591171476,legitimate,3,105.96,8,manual,False
1591172764,legitimate,9,38.56,6,online,False
1591173652,legitimate,7,17.87,8,contactless,False
1591174154,legitimate,8,12.19,4,online,False
1591175544,legitimate,2,11.79,4,contactless,False
1591175731,legitimate,0,29.83,4,chip_and_pin,False
1591176463,legitimate,1,22.64,14,swipe,False
1591177268,legitimate,4,39.93,8,chip_and_pin,False
1591178631,legitimate,3,23.94,6,contactless,False
1591178807,legitimate,6,18.65,11,chip_and_pin,False
1591181150,legitimate,0,15.92,6,swipe,False
1591182263,legitimate,8,23.75,4,online,False
1591183015,legitimate,9,25.75,11,contactless,False
1591183291,legitimate,7,21.8,8,online,True
1591184338,legitimate,5,18.17,6,contactless,False
1591185112,legitimate,3,38.8,8,manual,False
1591185662,legitimate,4,16.96,8,chip_and_pin,False
1591185733,legitimate,2,126.97,8,online,True
1591187411,legitimate,0,30.63,4,online,True
1591188048,legitimate,1,27.09,6,contactless,False
1591189670,legitimate,6,20.72,14,manual,False
1591190364,legitimate,9,22.54,11,online,True
1591190498,legitimate,8,15.06,14,chip_and_pin,False
1591191677,legitimate,3,18.25,8,chip_and_pin,False
1591192535,legitimate,0,29.5,4,online,True
1591193084,legitimate,7,9.0,8,chip_and_pin,False
1591193184,legitimate,2,22.6,14,online,True
1591194291,legitimate,4,9.92,8,contactless,False
1591195294,legitimate,5,33.78,6,chip_and_pin,False
1591197812,legitimate,0,16.26,4,contactless,False
1591198021,legitimate,3,24.68,8,contactless,False
1591200153,legitimate,1,23.13,6,online,False
1591200781,legitimate,6,12.59,14,contactless,False
1591201863,legitimate,2,13.37,14,online,False
1591202608,legitimate,4,16.79,8,contactless,False
1591203056,legitimate,0,17.75,4,chip_and_pin,False
1591205076,legitimate,3,25.01,8,chip_and_pin,False
1591207789,legitimate,5,19.46,6,contactless,False
1591208144,legitimate,0,22.42,8,online,False
1591209200,legitimate,2,9.19,14,swipe,False
1591210718,legitimate,4,101.21,4,contactless,False
1591211018,legitimate,1,24.24,14,swipe,False
1591213268,legitimate,0,35.73,4,chip_and_pin,False
1591213294,legitimate,3,20.81,8,contactless,False
1591217737,legitimate,2,29.15,14,contactless,False
1591218827,legitimate,0,23.23,11,contactless,False
1591222972,legitimate,1,21.4,6,swipe,False
1591238099,legitimate,9,34.82,11,manual,False
1591238221,legitimate,8,29.14,4,contactless,False
1591243858,legitimate,7,18.68,8,swipe,False
1591245588,legitimate,8,28.16,4,contactless,False
1591248590,legitimate,9,23.66,4,online,False
1591251569,legitimate,6,15.53,14,manual,False
1591253844,legitimate,7,11.62,8,swipe,False
1591254980,legitimate,3,21.02,6,online,True
1591255622,legitimate,4,15.05,6,contactless,False
1591255917,legitimate,8,44.0,4,contactless,False
1591256033,legitimate,5,13.2,6,online,False
1591257041,legitimate,9,36.82,14,chip_and_pin,False
1591261255,legitimate,3,17.63,11,swipe,False
1591262498,legitimate,6,44.09,8,contactless,False
1591263828,legitimate,7,10.09,8,online,False
1591263985,legitimate,4,19.12,8,swipe,False
1591264042,legitimate,0,21.59,4,swipe,False
1591264157,legitimate,2,11.67,14,online,False
1591264414,legitimate,8,12.66,4,contactless,False
1591266027,legitimate,9,45.54,11,swipe,False
1591268256,legitimate,3,21.0,4,contactless,False
1591268336,legitimate,5,14.41,6,manual,False
1591269383,legitimate,1,23.83,14,online,False
1591269397,legitimate,0,18.01,4,swipe,False
1591272073,legitimate,2,9.36,14,contactless,False
1591272786,legitimate,4,13.16,8,chip_and_pin,False
1591273468,legitimate,8,70.14,4,chip_and_pin,False
1591273479,legitimate,7,32.74,8,swipe,False
1591274505,legitimate,6,28.75,14,chip_and_pin,False
1591274721,legitimate,9,25.01,11,online,True
1591275063,legitimate,0,16.85,14,swipe,False
1591275247,legitimate,3,23.84,8,contactless,False
1591279337,legitimate,2,23.03,14,swipe,False
1591279615,legitimate,5,37.13,6,online,False
1591280708,legitimate,8,11.22,4,online,False
1591280926,legitimate,0,29.87,14,online,False
1591281615,legitimate,3,15.44,6,online,False
1591281762,legitimate,4,11.05,8,online,False
1591282765,legitimate,1,30.73,6,contactless,False
1591283089,legitimate,7,42.7,8,online,False
1591286762,legitimate,2,10.1,14,online,True
1591286767,legitimate,0,22.99,4,chip_and_pin,False
1591288073,legitimate,6,15.14,11,contactless,False
1591288229,legitimate,3,20.4,8,contactless,False
1591289917,legitimate,4,9.67,8,contactless,False
1591292145,legitimate,0,100.23,14,online,True
1591292629,legitimate,5,32.92,6,online,False
1591294452,legitimate,3,28.37,14,manual,False
1591294685,legitimate,2,14.65,14,swipe,False
1591294863,legitimate,1,36.29,6,online,False
1591297704,legitimate,0,93.61,4,swipe,False
1591298575,legitimate,4,11.98,8,contactless,False
